UNIQ_ID,FCODE_TYPE,SETL_CODE,SETL_NAME,NAME,LATIN_NAME,USG_GROUP,USG_CODE,E_ORD,N_ORD,DATA_YEAR,PRDCT_VER,X,Y,FID
53947803,222,1199,עדי,גן ילדים,Kindergarten,13,5305,216465.943427,743135.893094,0,,216465.943427,743135.893094,1
53947805,222,295,כפר רופין,גן ילדים,Kindergarten,13,5305,252668.958627,707167.604394,0,,252668.958627,707167.604394,2
53947185,222,6700,טבריה,גן ילדים - גן בית יעקב,,13,5305,250329.852827,744582.667194,0,,250329.852827,744582.667194,3
53947196,222,9600,קריית ים,גן ילדים - גן שקמה,Gan Shikma Kindergarten,13,5305,206074.247527,749230.022994,0,,206074.247527,749230.022994,4
53950218,222,4000,חיפה,בית ספר - להנדסאים,,13,5370,203057.181627,742380.381294,0,,203057.181627,742380.381294,5
54010874,222,8300,ראשון לציון,גן ילדים - אורנה,,13,5305,180372.409127,652662.203294,0,,180372.409127,652662.203294,6
53950768,222,7800,פרדס חנה-כרכור,גן ילדים - ארז,Erez Kindergarten,13,5305,197385.192227,708617.512194,0,,197385.192227,708617.512194,7
53950771,222,7400,נתניה,בית ספר - אולפנית ביאליק,,13,5312,186557.379627,693229.469594,0,,186557.379627,693229.469594,8
53950776,222,6900,כפר סבא,גן ילדים - גן ורד,Gan Vered Kindergarten,13,5305,191865.676127,676590.013794,0,,191865.676127,676590.013794,9
53950790,222,195,קדימה-צורן,גן ילדים - תורני,,13,5305,191979.860227,686463.609694,0,,191979.860227,686463.609694,10
53950794,222,166,גן יבנה,גן ילדים - אתרוג,Etrog Kindergarten,13,5305,173239.136627,632959.061294,0,,173239.136627,632959.061294,11
53948366,222,343,חמדיה,גן ילדים - כלנית,Kallanit Kindergarten,13,5305,249016.380627,714041.746494,0,,249016.380627,714041.746494,12
53948373,222,6500,חדרה,"גן ילדים - של ש""ס",,13,5305,195339.454727,702656.395494,0,,195339.454727,702656.395494,13
53949859,222,7700,עפולה,גן ילדים - ניר,,13,5305,230425.051127,726899.949094,0,,230425.051127,726899.949094,14
53950688,222,2400,אור יהודה,גן ילדים - גן רבקה,,13,5305,187565.214327,659662.845594,0,,187565.214327,659662.845594,15
53950689,222,1284,נופית,גן ילדים,Kindergarten,13,5305,214189.195327,740651.246494,0,,214189.195327,740651.246494,16
53950692,222,874,מגדל העמק,גן ילדים - אלה,,13,5305,223881.321327,731383.697194,0,,223881.321327,731383.697194,17
53950697,222,9200,בית שאן,גן ילדים - ניצן,,13,5305,247136.213427,711064.868594,0,,247136.213427,711064.868594,18
53950701,222,7400,נתניה,גן ילדים - הארגמן גני פיס,,13,5305,185821.899127,689779.870994,0,,185821.899127,689779.870994,19
54010859,222,9700,הוד השרון,גן ילדים - גן אילנה,,13,5305,189791.104627,673799.581394,0,,189791.104627,673799.581394,20
53951798,222,7700,עפולה,בית ספר - טכנולוגי עמל,,13,5330,230699.053827,725305.920494,0,,230699.053827,725305.920494,21
53951810,222,240,יקנעם עילית,בית ספר לשחיה וספורט דולפין,,13,5300,208616.974127,727819.770394,2014,2015-07,208616.974127,727819.770394,22
53951813,222,6500,חדרה,גן ילדים - אשר,Asher Kindergarten,13,5305,195987.712727,702524.258794,0,,195987.712727,702524.258794,23
54011114,222,7400,נתניה,גן ילדים - מלכה,,13,5305,187500.847027,693446.780894,0,,187500.847027,693446.780894,24
